Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
missing_diff,449.0,0.0,449.0
statements_diff,0.0,0.0,0.0
missing_diff,449.0,0.0,449.0
missing_diff,5.0,0.0,5.0
missing_diff,11.0,0.0,11.0
missing_diff,-1.0,-5.0,4.0
statements_diff,0.0,0.0,0.0
statements_diff,0.0,0.0,0.0
missing_diff,4.0,0.0,4.0
missing_diff,3.0,0.0,3.0
statements_diff,0.0,0.0,0.0
missing_diff,35.0,0.0,35.0
statements_diff,0.0,0.0,0.0
missing_diff,449.0,0.0,449.0
statements_diff,0.0,0.0,0.0
statements_diff,0.0,0.0,0.0
missing_diff,449.0,0.0,449.0
statements_diff,0.0,0.0,0.0
missing_diff,5.0,0.0,5.0
statements_diff,0.0,0.0,0.0
statements_diff,0.0,0.0,0.0
missing_diff,6.0,0.0,6.0
statements_diff,0.0,0.0,0.0
missing_diff,7.0,0.0,7.0
statements_diff,0.0,0.0,0.0
statements_diff,0.0,0.0,0.0
