Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
missing,-17459.0,0.0,-17459.0
missing,0.0,0.0,0.0
missing,6.0,6.0,0.0
statements,0.0,0.0,0.0
missing,27.0,27.0,0.0
missing,-17459.0,0.0,-17459.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,0.0,0.0,0.0
missing,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,0.0,0.0,0.0
missing,-91.0,0.0,-91.0
missing,-13.0,0.0,-13.0
missing,-17459.0,0.0,-17459.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,-17459.0,0.0,-17459.0
