File,statements,missing
/etc/python3.10/sitecustomize.py,0,0
conftest.py,0,0
jedi/__init__.py,0,0
jedi/api/__init__.py,0,0
jedi/api/classes.py,0,0
jedi/api/completion.py,0,0
jedi/api/completion_cache.py,0,0
jedi/api/environment.py,0,0
jedi/api/errors.py,0,0
jedi/api/exceptions.py,0,0
jedi/api/file_name.py,0,0
jedi/api/helpers.py,0,0
jedi/api/interpreter.py,0,0
jedi/api/keywords.py,0,0
jedi/api/project.py,0,0
jedi/api/refactoring/__init__.py,0,0
jedi/api/refactoring/extract.py,0,0
jedi/api/replstartup.py,0,0
jedi/api/strings.py,0,0
jedi/cache.py,0,0
jedi/common.py,0,0
jedi/debug.py,0,0
jedi/file_io.py,0,0
jedi/inference/__init__.py,0,0
jedi/inference/analysis.py,0,0
jedi/inference/arguments.py,0,0
jedi/inference/base_value.py,0,0
jedi/inference/cache.py,0,0
jedi/inference/compiled/__init__.py,0,0
jedi/inference/compiled/access.py,0,0
jedi/inference/compiled/getattr_static.py,0,0
jedi/inference/compiled/mixed.py,0,0
jedi/inference/compiled/subprocess/__init__.py,0,0
jedi/inference/compiled/subprocess/functions.py,0,0
jedi/inference/compiled/value.py,0,0
jedi/inference/context.py,0,14
jedi/inference/docstring_utils.py,0,0
jedi/inference/docstrings.py,0,0
jedi/inference/dynamic_params.py,0,0
jedi/inference/filters.py,0,0
jedi/inference/finder.py,0,12
jedi/inference/flow_analysis.py,0,0
jedi/inference/gradual/__init__.py,0,0
jedi/inference/gradual/annotation.py,0,0
jedi/inference/gradual/base.py,0,0
jedi/inference/gradual/conversion.py,0,0
jedi/inference/gradual/generics.py,0,0
jedi/inference/gradual/stub_value.py,0,0
jedi/inference/gradual/type_var.py,0,0
jedi/inference/gradual/typeshed.py,0,0
jedi/inference/gradual/typing.py,0,0
jedi/inference/gradual/utils.py,0,0
jedi/inference/helpers.py,0,2
jedi/inference/imports.py,0,0
jedi/inference/lazy_value.py,0,0
jedi/inference/names.py,0,3
jedi/inference/param.py,0,0
jedi/inference/parser_cache.py,0,0
jedi/inference/recursion.py,0,0
jedi/inference/references.py,0,0
jedi/inference/signature.py,0,0
jedi/inference/star_args.py,0,0
jedi/inference/syntax_tree.py,0,15
jedi/inference/sys_path.py,0,0
jedi/inference/utils.py,0,0
jedi/inference/value/__init__.py,0,0
jedi/inference/value/decorator.py,0,0
jedi/inference/value/dynamic_arrays.py,0,0
jedi/inference/value/function.py,0,0
jedi/inference/value/instance.py,0,0
jedi/inference/value/iterable.py,0,0
jedi/inference/value/klass.py,0,0
jedi/inference/value/module.py,0,0
jedi/inference/value/namespace.py,0,0
jedi/parser_utils.py,0,0
jedi/plugins/__init__.py,0,0
jedi/plugins/django.py,0,0
jedi/plugins/flask.py,0,0
jedi/plugins/pytest.py,0,0
jedi/plugins/registry.py,0,0
jedi/plugins/stdlib.py,0,0
jedi/settings.py,0,0
jedi/utils.py,0,0
test/__init__.py,0,0
test/conftest.py,0,0
test/helpers.py,0,0
test/refactor.py,0,0
test/run.py,0,0
test/test_api/__init__.py,0,0
test/test_api/test_analysis.py,0,0
test/test_api/test_api.py,0,0
test/test_api/test_api_classes_follow_definition.py,0,0
test/test_api/test_call_signatures.py,0,0
test/test_api/test_classes.py,0,0
test/test_api/test_completion.py,0,0
test/test_api/test_context.py,0,0
test/test_api/test_documentation.py,0,0
test/test_api/test_environment.py,0,0
test/test_api/test_full_name.py,0,0
test/test_api/test_interpreter.py,0,0
test/test_api/test_keyword.py,0,0
test/test_api/test_names.py,0,0
test/test_api/test_project.py,0,0
test/test_api/test_refactoring.py,0,0
test/test_api/test_search.py,0,0
test/test_api/test_settings.py,0,0
test/test_api/test_signatures.py,0,0
test/test_api/test_syntax_errors.py,0,0
test/test_api/test_unicode.py,0,0
test/test_api/test_usages.py,0,0
test/test_cache.py,0,0
test/test_debug.py,0,0
test/test_file_io.py,0,0
test/test_inference/__init__.py,0,0
test/test_inference/test_annotations.py,0,0
test/test_inference/test_buildout_detection.py,0,0
test/test_inference/test_compiled.py,0,0
test/test_inference/test_context.py,0,0
test/test_inference/test_docstring.py,0,-1
test/test_inference/test_extension.py,0,0
test/test_inference/test_fstring.py,0,0
test/test_inference/test_gradual/__init__.py,0,0
test/test_inference/test_gradual/test_conversion.py,0,0
test/test_inference/test_gradual/test_stub_loading.py,0,0
test/test_inference/test_gradual/test_stubs.py,0,0
test/test_inference/test_gradual/test_typeshed.py,0,0
test/test_inference/test_implicit_namespace_package.py,0,0
test/test_inference/test_imports.py,0,0
test/test_inference/test_literals.py,0,0
test/test_inference/test_mixed.py,0,0
test/test_inference/test_namespace_package.py,0,0
test/test_inference/test_precedence.py,0,0
test/test_inference/test_pyc.py,0,0
test/test_inference/test_representation.py,0,0
test/test_inference/test_signature.py,0,0
test/test_inference/test_stdlib.py,0,0
test/test_inference/test_sys_path.py,0,0
test/test_integration.py,0,0
test/test_parso_integration/__init__.py,0,0
test/test_parso_integration/test_basic.py,0,0
test/test_parso_integration/test_error_correction.py,0,0
test/test_parso_integration/test_parser_utils.py,0,0
test/test_settings.py,0,0
test/test_utils.py,0,0
